Warning: Identity file /Users/briandillmann/.ssh/google_compute_engine not accessible: Operation not permitted.
Warning: Permanently added '34.148.248.120' (ED25519) to the list of known hosts.
Cloning into 'goodhistogram'...
=== worker: x86_64, 24 cores, go version go1.25.5 linux/amd64 ===
goos: linux
goarch: amd64
pkg: github.com/cockroachdb/goodhistogram
cpu: Intel(R) Xeon(R) CPU @ 2.80GHz
BenchmarkMinMaxSingleThread/order=descending/record-padded-24        	52216807	        22.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-padded-24        	52149896	        22.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-padded-24        	52097365	        22.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-padded-24        	52127271	        22.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-24                	52081993	        39.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-24                	29619292	        39.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-24                	51765999	        40.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-24                	51103450	        40.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-24                	30752896	        39.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-24                	49383782	        39.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-24                	51441687	        39.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-24                	51340464	        39.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-24         	26509453	        44.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-24         	26998356	        43.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-24         	27684817	        43.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-24         	27326305	        43.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-24         	27391596	        44.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-24         	27063475	        43.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-24         	27533258	        43.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-24         	27135372	        43.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-24         	24504864	        42.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-24         	27186907	        45.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-24         	26096641	        42.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-24         	28302776	        45.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-24         	25783207	        42.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-24         	27758900	        45.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-24         	26225269	        42.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-24         	27522121	        45.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-24             	51623671	        38.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-24             	52248072	        38.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-24             	51734221	        39.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-24             	52044207	        39.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-24             	51764955	        39.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-24             	52335606	        39.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-24             	28015515	        38.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-24             	52561502	        22.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-24      	24671144	        42.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-24      	27898574	        43.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-24      	27753896	        42.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-24      	27441484	        43.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-24      	27216510	        42.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-24      	27900054	        43.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-24      	26677032	        43.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-24      	24241024	        44.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-24      	25005890	        45.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-24      	24533078	        41.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-24      	29332824	        45.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-24      	26430598	        41.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-24      	26805776	        45.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-24      	26799432	        40.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-24      	28415832	        45.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-24      	25371724	        40.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-24            	49473514	        39.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-24            	51846984	        38.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-24            	51949099	        38.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-24            	51696159	        38.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-24            	51528228	        39.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-24            	52102538	        38.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-24            	50769205	        22.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-24            	50453738	        39.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-24     	25712655	        43.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-24     	25734426	        43.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-24     	26202738	        42.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-24     	27072426	        43.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-24     	25470444	        42.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-24     	27578422	        42.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-24     	27446630	        43.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-24     	26715416	        42.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-24     	26522062	        41.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-24     	27680256	        45.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-24     	26659036	        41.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-24     	27951442	        45.74 ns/op	       0 B/op	       0 allocs/op
