go: downloading github.com/prometheus/client_golang v1.23.2
go: downloading github.com/prometheus/client_model v0.6.2
go: downloading github.com/stretchr/testify v1.11.1
go: downloading google.golang.org/protobuf v1.36.8
go: downloading github.com/davecgh/go-spew v1.1.1
go: downloading github.com/pmezard/go-difflib v1.0.0
go: downloading gopkg.in/yaml.v3 v3.0.1
go: downloading github.com/prometheus/common v0.66.1
go: downloading github.com/beorn7/perks v1.0.1
go: downloading github.com/cespare/xxhash/v2 v2.3.0
go: downloading github.com/prometheus/procfs v0.16.1
go: downloading github.com/munnerz/goautoneg v0.0.0-20191010083416-a7dc8b61c822
go: downloading go.yaml.in/yaml/v2 v2.4.2
go: downloading golang.org/x/sys v0.35.0
goos: linux
goarch: arm64
pkg: github.com/cockroachdb/goodhistogram
BenchmarkMinMaxSingleThread/order=descending/record-padded-8        	75644199	        14.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-padded-8        	76538518	        15.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-padded-8        	75427200	        14.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-8                	19781232	       102.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-8                	19222936	       107.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-8                	20516773	        99.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-8                	20974554	        96.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-8                	19766899	       105.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-8                	21624564	       102.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-8                	11867691	       101.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-8                	21510104	       101.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-8         	11946811	        95.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-8         	13418262	        91.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-8         	13143856	        91.45 ns/op	       0 B/op	       0 allocs/op
