goos: darwin
goarch: arm64
pkg: github.com/cockroachdb/goodhistogram
cpu: Apple M3 Pro
BenchmarkMinMaxContention/g=50/order=steady/record-11                	27217209	        38.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-11                	27598107	        43.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-11                	24184060	        43.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-11                	33548842	        37.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-11                	32062129	        42.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-11                	30123927	        44.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-11         	33676405	        46.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-11         	32323279	        38.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-11         	19846356	        50.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-11         	23282660	        63.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-11         	27896650	        51.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-11         	23740885	        51.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-11         	23501582	        51.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-11         	22647514	        51.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-11         	18514291	        54.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-11         	21077899	        64.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-11         	22140476	        55.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-11         	21440790	        54.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-11         	22381065	        61.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-11         	29835222	        52.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-11         	21997023	        55.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-11         	21918788	        52.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-11             	21519468	        52.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-11             	20480727	        52.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-11             	20732863	        48.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-11             	23641540	        50.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-11             	20135269	        50.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-11             	20548618	        52.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-11             	20775802	        52.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-11             	26041269	        50.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-11      	22430516	        47.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-11      	22955170	        43.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-11      	24744819	        44.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-11      	24078271	        51.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-11      	25034059	        54.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-11      	24253443	        52.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-11      	26649811	        47.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-11      	33036536	        58.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-11      	18270054	        57.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-11      	20926412	        57.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-11      	20269982	        55.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-11      	17553418	        59.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-11      	17470172	        61.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-11      	18500733	        58.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-11      	22251301	        46.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-11      	18880082	        56.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-11            	25474393	        48.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-11            	23100523	        50.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-11            	24087618	        46.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-11            	98139102	        28.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-11            	35625196	        37.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-11            	39733263	        36.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-11            	25718418	        39.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-11            	35518056	        32.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-11     	30751108	        36.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-11     	34690920	        31.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-11     	38095566	        33.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-11     	34619671	        36.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-11     	33618049	        41.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-11     	40487971	        36.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-11     	31402294	        41.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-11     	27444537	        60.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-11     	40229250	        54.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-11     	19860492	        62.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-11     	20199525	        60.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-11     	20749712	        63.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-11     	19354096	        58.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-11     	16986019	        59.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-11     	16970145	        66.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-11     	21919492	        60.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-11               	22555207	        56.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-11               	22763306	        51.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-11               	21252588	        52.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-11               	23475861	        58.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-11               	23349406	        52.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-11               	20268885	        52.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-11               	22910035	        56.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-11               	22953199	        57.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-11        	22199644	        65.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-11        	24135601	        50.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-11        	23125876	        52.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-11        	22755991	        51.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-11        	23081296	        49.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-11        	22644481	        48.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-11        	23038418	        65.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-11        	22462952	        65.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-padded-11        	22148632	        54.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-padded-11        	22721796	        54.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-padded-11        	21687066	        66.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-padded-11        	20046970	        53.84 ns/op	       0 B/op	       0 allocs/op
